title,rating,ratingPeople,drive,price,habitability,quality,design,fuel
기아 X-TREK,8.2,4,8.5,8.8,8.8,8.2,8,7.2
기아 델타,,,,,,,,
기아 록스타 R2,,,,,,,,
기아 록스타,,,,,,,,
기아 리오,,,,,,,,
기아 하이베스타,,,,,,,,
기아 베스타,,,,,,,,
기아 브리샤,,,,,,,,
기아 슈마,9.4,2,8.5,10,10,9.5,10,8.5
기아 씨드,,,,,,,,
기아 캐피탈,7.6,2,9.5,9,6,6,8,7
기아 타스만,,,,,,,,
기아 타우너,9,1,10,10,4,10,10,10
기아 토픽,,,,,,,,
기아 텔루라이드,,,,,,,,
기아 프레지오,9.8,1,10,10,9,10,10,10
기아 피아트132,,,,,,,,
쉐보레 더 뉴 스파크,8.6,1231,8.9,8.6,8.3,8.7,8.9,8.2
쉐보레 더 넥스트 스파크,,,,,,,,
쉐보레 스파크 EV,7.6,4,9.8,6.8,6.2,8.8,7.8,0
쉐보레 스파크,,,,,,,,
쉐보레 트랙스 크로스오버,9.2,570,9.5,9.3,9.4,8.9,9.8,8.3
쉐보레 더 뉴 트랙스,9.2,570,9.5,9.3,9.4,8.9,9.8,8.3
쉐보레 트랙스,9.2,570,9.5,9.3,9.4,8.9,9.8,8.3
쉐보레 더 뉴 말리부,8.9,890,9.4,8.7,9,8.7,9.4,8.2
쉐보레 올 뉴 말리부,8.9,890,9.4,8.7,9,8.7,9.4,8.2
쉐보레 말리부,8.9,890,9.4,8.7,9,8.7,9.4,8.2
쉐보레 올 뉴 크루즈,8.5,365,9.3,7.9,8.2,8.9,9,7.9
쉐보레 어메이징 뉴 크루즈,,,,,,,,
쉐보레 어메이징 뉴 크루즈5,,,,,,,,
쉐보레 크루즈5,,,,,,,,
쉐보레 크루즈,8.5,365,9.3,7.9,8.2,8.9,9,7.9
쉐보레 올란도,,,,,,,,
쉐보레 더 뉴 트레일블레이저,8.9,68,9.6,7.4,8.8,9.2,9.8,8.5
쉐보레 트레일블레이저,8.9,68,9.6,7.4,8.8,9.2,9.8,8.5
쉐보레 올 뉴 콜로라도,8.7,1,10,10,10,10,10,2
쉐보레 리얼 뉴 콜로라도,,,,,,,,
쉐보레 콜로라도,8.7,1,10,10,10,10,10,2
쉐보레 캡티바,,,,,,,,
쉐보레 뉴 다마스,,,,,,,,
쉐보레 다마스 II,,,,,,,,
쉐보레 다마스,,,,,,,,
쉐보레 알페온,,,,,,,,
쉐보레 더 뉴 아베오 세단,,,,,,,,
쉐보레 더 뉴 아베오 해치백,,,,,,,,
쉐보레 아베오 세단,,,,,,,,
쉐보레 아베오 해치백,,,,,,,,
쉐보레 마티즈 크리에이티브,,,,,,,,
쉐보레 마티즈 클래식,,,,,,,,
쉐보레 All New 마티즈,,,,,,,,
쉐보레 마티즈 II,,,,,,,,
쉐보레 마티즈,,,,,,,,
쉐보레 임팔라,8.9,584,9.5,9.1,9.1,9,9.1,7.6
쉐보레 트래버스,,,,,,,,
쉐보레 더 뉴 카마로,8.3,32,9.7,9.9,7.2,7.8,9.6,5.6
쉐보레 올 뉴 카마로,8.3,32,9.7,9.9,7.2,7.8,9.6,5.6
쉐보레 카마로,8.3,32,9.7,9.9,7.2,7.8,9.6,5.6
쉐보레 뉴 라보,,,,,,,,
쉐보레 라보,,,,,,,,
쉐보레 더 넥스트 이쿼녹스,,,,,,,,
쉐보레 이쿼녹스,,,,,,,,
쉐보레 라세티 프리미어,,,,,,,,
쉐보레 라세티,,,,,,,,
쉐보레 뉴 볼트 EV,9.4,15,9.6,9.6,9.1,9.3,9.2,9.7
쉐보레 볼트 EV,9.4,15,9.6,9.6,9.1,9.3,9.2,9.7
쉐보레 볼트 EUV,9.2,128,9.6,9.2,9,9,9.5,9.3
쉐보레 윈스톰 맥스,,,,,,,,
쉐보레 윈스톰,,,,,,,,
쉐보레 토스카 프리미엄6,,,,,,,,
쉐보레 토스카,,,,,,,,
쉐보레 G2X,,,,,,,,
쉐보레 아카디아,,,,,,,,
쉐보레 젠트라 X,,,,,,,,
쉐보레 젠트라,,,,,,,,
쉐보레 타호,,,,,,,,
쉐보레 베리타스,,,,,,,,
쉐보레 에스페로,,,,,,,,
쉐보레 볼트,9.4,15,9.6,9.6,9.1,9.3,9.2,9.7
쉐보레 티코,,,,,,,,
쉐보레 뉴프린스,,,,,,,,
쉐보레 프린스,,,,,,,,
쉐보레 로얄 프린스,,,,,,,,
쉐보레 매그너스,,,,,,,,
쉐보레 르망,,,,,,,,
쉐보레 스테이츠맨,,,,,,,,
쉐보레 콜벳,,,,,,,,
쉐보레 넥시아,,,,,,,,
쉐보레 누비라 2,,,,,,,,
쉐보레 누비라,,,,,,,,
